Drug_Name,Drug_class,Drug_Pubchem_ID,Resistance_gene_class,Resistance_genes_involved,Bibliography 
Acriflavine,Biocide,443101,Two Component system,acrAB-Tolc system,PMID: 24043404
Acriflavine,Biocide,443101,Efflux pump,emrKY,PMID: 11566977
Acriflavine,Biocide,443101,Efflux pump,bcr,PMID: 11566977
Acriflavine,Biocide,443101,Efflux pump,mdfA,PMID: 9079913
Acriflavine,Biocide,443101,Efflux pump,yjiO,PMID: 11566977
Acriflavine,Biocide,443101,Efflux pump,acrEF,PMID: 11566977
Acriflavine,Biocide,443101,Efflux pump,emrE,PMID: 11566977
Amikacin,Aminoglycoside,37768,Efflux pump,acrD,PMID: 10692383 
Amikacin,Aminoglycoside,37768,Two Component system,cpxRA,PMID: 12618449
Amoxicillin,Beta Lactam: Penam,33613,Beta Lactamase,bla(TEM),PMID: 11751770
Amoxicillin,Beta Lactam: Penam,33613,Beta Lactamase,bla(OXA-1),PMID: 11751770
Amoxicillin,Beta Lactam: Penam,33613,Beta Lactamase,bla(SHV),PMID: 11751770
Amoxicillin,Beta Lactam: Penam,33613,Beta Lactamase,ampC,PMID: 11751770
Amoxicillin,Beta Lactam: Penam,33613,Beta Lactamase,CTX-M β-lactamases,PMID: 19402960
Amoxicillin,Beta Lactam: Penam,33613,Horizontal Gene Transfer ,Class 1 Integron,PMID: 26889395
Ampicillin,Beta Lactam: Penam,6249,Beta Lactamase,bla(TEM),PMID: 20374640
Ampicillin,Beta Lactam: Penam,6249,Beta Lactamase,bla(SHV),PMID: 20374640
Ampicillin,Beta Lactam: Penam,6249,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Ampicillin,Beta Lactam: Penam,6249,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Ampicillin,Beta Lactam: Penam,6249,Beta Lactamase,bla(CMY),PMID: 11709361
Ampicillin,Beta Lactam: Penam,6249,Two Component system,acrAB-Tolc system,PMID: 8550435
Apramycin,Aminoglycoside,3081545,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Azithromycin,Polyketide: Macrolides,447043,Efflux pump,MacAB-TolC,PMID: 11544226
Azithromycin,Polyketide: Macrolides,447043,Deletion,crp,PMID: 18503189
Aztreonam,Beta Lactam: Monobactam,5742832,Beta Lactamase,Bla(VIM-2),PMID: 15301681
Aztreonam,Beta Lactam: Monobactam,5742832,Beta Lactamase,Bla(IBC-1),PMID: 15301681
Bacitracin,Peptide drug,10909430,Undecaprenyl diphosphatase,ybjG,PMID: 23912810
Bacitracin,Peptide drug,10909430,Undecaprenyl diphosphatase,pgpB,PMID: 23912810
Bacitracin,Peptide drug,10909430,Phosphorylation of undecaprenol,bacA,PMID: 23912810
Balofloxacin,Fluoroquinolone,65958,expressional alterations ,OmpC,PMID: 24412198
Balofloxacin,Fluoroquinolone,65958,expressional alterations ,OmpF,PMID: 24412198
Balofloxacin,Fluoroquinolone,65958,OMP,LamB,PMID: 24412198
Benzalkonium,Biocide,23705,Efflux pump,mdfA,PMID: 9079913
Benzalkonium,Biocide,23705,Efflux pump,emrKY,PMID: 11566977
Benzalkonium,Biocide,23705,Efflux pump,emrD,PMID: 11566977
Benzalkonium,Biocide,23705,Efflux pump,ydhE,PMID: 9661020
Benzalkonium,Biocide,23705,Efflux pump,acrAB,PMID: 11566977
Benzalkonium,Biocide,23705,Efflux pump,acrEF,PMID: 11566977
Benzalkonium,Biocide,23705,Efflux pump,yhiUV,PMID: 11566977
Benzalkonium,Biocide,23705,Efflux Pump,emrE,PMID: 11566977
Benzalkonium,Biocide,23705,Drug transporter,evgA,PMID: 12618449
Benzalkonium,Biocide,23705,Drug transporter,narL,PMID: 12618449
Bicyclomycin,Peptide drug,426058,Efflux Pump,bcr,PMID: 8486276
Carbenicillin,Beta Lactam: Penam,20824,Regulator,ydeP,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,Regulator,ydeO,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,Regulator,gadE,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,OMP,Slp-yhiF,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,OMP,hdeA,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,OMP,hdeD,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,Glutamate decarboxylase,gadA,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,Glutamate decarboxylase,gadB,PMID: 12694615
Carbenicillin,Beta Lactam: Penam,20824,Encode a glutamate:γ-aminobutyrate antiporter,gadC,PMID: 12694615
Carbonyl Cyanide m-chlorophenylhydrazone,Uncoupling agent,2603,Efflux Pump,emrAB,PMID: 11566977
Carbonyl Cyanide m-chlorophenylhydrazone,Uncoupling agent,2603,Single frame-shift Mutation in the repressor ,emrR,PMID: 7730261
Cefalotin,Beta Lactam: Cephem,6024,Horizontal Gene Transfer,Class 1 Integron,PMID: 26889395
Cefalotin,Beta Lactam: Cephem,6024,Beta Lactamase,bla(CMY),PMID: 11709361
Cefepime,Beta Lactam: Cephem,5479537,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefepime,Beta Lactam: Cephem,5479537,Beta Lactamase,Bla(NDM-12),PMID: 25092693
Cefepime,Beta Lactam: Cephem,5479537,Beta Lactamase,Bla(NDM-4),PMID: 22252797
Cefepime,Beta Lactam: Cephem,5479537,Beta Lactamase,bla(CMY),PMID: 19414578
Cefepime,Beta Lactam: Cephem,5479537,Plasmid mediated Beta lactamase ,CMY-33,PMID: 19414578
Cefepime,Beta Lactam: Cephem,5479537,Plasmid mediated Beta lactamase ,CMY-44,PMID: 19414578
Cefepime,Beta Lactam: Cephem,5479537,Efflux pump,marA,PMID: 21048014
Cefoselis,Beta Lactam: Cephem,5748845,Beta Lactamase,Bla(NDM-1),PMID: 25092693
Cefoselis,Beta Lactam: Cephem,5748845,Beta Lactamase,Bla(NDM-12),PMID: 25092693
